Time	Price	Vol(k)	W
19-01-2026 10:50:37	1.8500	0.3	s
19-01-2026 10:46:44	1.8400	6	b
19-01-2026 10:46:21	1.8400	0.1	b
19-01-2026 10:42:48	1.8400	0.1	b
19-01-2026 10:39:32	1.8600	0.1	s
19-01-2026 10:38:44	1.8400	0.1	b
19-01-2026 10:38:31	1.8600	0.1	s
19-01-2026 10:36:09	1.8600	0.2	s
19-01-2026 10:35:06	1.8600	0.1	s
19-01-2026 10:34:32	1.8500	0.1	b
19-01-2026 10:34:32	1.8500	5.3	b
19-01-2026 10:34:01	1.8600	0.1	s
19-01-2026 10:33:45	1.8600	0.1	s
19-01-2026 10:33:31	1.8500	8.8	b
19-01-2026 10:28:04	1.8600	0.6	s
19-01-2026 10:25:31	1.8500	5.1	s
19-01-2026 10:25:22	1.8500	0.3	s
19-01-2026 10:25:00	1.8500	2.5	s
19-01-2026 10:24:21	1.8500	2.5	s
19-01-2026 10:24:20	1.8500	8	b
19-01-2026 10:23:54	1.8500	0.9	b
19-01-2026 10:23:53	1.8500	46.7	s
19-01-2026 10:22:22	1.8400	0.4	b
19-01-2026 10:21:46	1.8400	10	b
19-01-2026 10:21:17	1.8400	2	b
19-01-2026 10:19:38	1.8500	3	s
19-01-2026 10:19:10	1.8500	0.1	s
19-01-2026 10:18:39	1.8500	10	s
19-01-2026 10:18:06	1.8400	0.6	b
19-01-2026 10:16:48	1.8400	1	b
19-01-2026 10:16:21	1.8400	0.3	b
19-01-2026 10:15:47	1.8400	1	b
19-01-2026 10:15:47	1.8400	51.9	b
19-01-2026 10:14:33	1.8500	102.9	b
19-01-2026 10:12:42	1.8500	0.1	b
19-01-2026 10:11:34	1.8500	0.1	b
19-01-2026 10:10:06	1.8600	0.1	s
19-01-2026 10:09:03	1.8600	0.1	s
19-01-2026 10:08:04	1.8600	0.1	s
19-01-2026 10:07:03	1.8500	10	b
19-01-2026 10:06:58	1.8600	0.1	s
19-01-2026 10:05:59	1.8600	0.1	s
19-01-2026 10:05:03	1.8600	0.1	s
19-01-2026 10:03:42	1.8600	0.1	s
19-01-2026 10:03:36	1.8600	0.1	s
19-01-2026 10:03:24	1.8600	10	s
19-01-2026 09:58:31	1.8600	0.1	s
19-01-2026 09:58:12	1.8600	10	s
19-01-2026 09:58:05	1.8600	0.1	s
19-01-2026 09:57:52	1.8600	5	s
19-01-2026 09:56:51	1.8600	10	s
19-01-2026 09:56:48	1.8600	0.5	s
19-01-2026 09:55:31	1.8500	0.1	b
19-01-2026 09:52:40	1.8600	0.3	s
19-01-2026 09:52:37	1.8600	2	s
19-01-2026 09:51:00	1.8600	0.4	s
19-01-2026 09:50:57	1.8600	1	s
19-01-2026 09:50:36	1.8600	5	s
19-01-2026 09:49:32	1.8600	0.4	s
19-01-2026 09:49:24	1.8600	2	s
19-01-2026 09:46:32	1.8600	0.4	s
19-01-2026 09:46:26	1.8600	1.5	s
19-01-2026 09:44:00	1.8600	0.4	s
19-01-2026 09:43:01	1.8600	0.6	s
19-01-2026 09:42:59	1.8500	3	b
19-01-2026 09:42:58	1.8500	5	b
19-01-2026 09:40:50	1.8600	32.1	b
19-01-2026 09:39:27	1.8700	0.1	s
19-01-2026 09:39:25	1.8600	0.2	b
19-01-2026 09:38:26	1.8600	0.4	b
19-01-2026 09:37:24	1.8600	0.1	b
19-01-2026 09:31:03	1.8600	5	b
19-01-2026 09:30:56	1.8600	4.8	s
19-01-2026 09:30:51	1.8600	17.6	b
19-01-2026 09:30:16	1.8600	1.5	b
19-01-2026 09:30:02	1.8600	2	b
19-01-2026 09:27:32	1.8600	5.1	b
19-01-2026 09:24:30	1.8700	3	s
19-01-2026 09:23:51	1.8600	0.1	b
19-01-2026 09:19:12	1.8700	1.3	s
19-01-2026 09:16:55	1.8700	0.5	b
19-01-2026 09:15:25	1.8700	2	b
19-01-2026 09:15:17	1.8700	0.1	b
19-01-2026 09:15:17	1.8700	0.5	b
19-01-2026 09:14:49	1.8700	2	b
19-01-2026 09:14:49	1.8700	18	s
19-01-2026 09:12:46	1.8700	6	b
19-01-2026 09:10:11	1.8700	0.1	b
19-01-2026 09:10:11	1.8700	0.1	b
19-01-2026 09:10:11	1.8700	0.7	s
19-01-2026 09:10:00	1.8700	1.8	s
19-01-2026 09:09:07	1.8700	2.4	s
19-01-2026 09:08:42	1.8700	4.5	s
19-01-2026 09:08:12	1.8700	15	s
19-01-2026 09:06:27	1.8700	7	s
19-01-2026 09:05:54	1.8700	20	s
19-01-2026 09:05:25	1.8600	5	b
19-01-2026 09:05:22	1.8600	6.9	s
19-01-2026 09:05:16	1.8600	17.5	b
19-01-2026 09:05:03	1.8700	0.2	s
19-01-2026 09:03:49	1.8700	1	s
19-01-2026 09:03:20	1.8600	0.2	b
19-01-2026 09:02:17	1.8600	195.5	b
19-01-2026 09:02:00	1.8700	12	s
19-01-2026 09:01:17	1.8700	29.5	b
19-01-2026 08:58:18	1.8800	70.8	b
